nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
pierwiosnek lekarski,primula veris,byliny,"byliny, znoszące zacienienie, na skalniaki, kwitnące wiosną, ozdobne kwiaty, zioła",kwiaty,"małe wymagania glebowe, przepuszczalna, bogata w wapń",żółte,dzwonkowate,"zasadowa, obojętna, lekko zasadowa",torebka,"zwarty, kępy",30 cm (z kwiatami),"IV, V",sezonowe,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, ogrody wiejskie, skalniaki, obwódki rabat, skarpy, pod koronami drzew, nasadzenia naturalistyczne, roślina lecznicza, roślina jadalna",kwiaty,baldach,,kwiaty
hortensja bukietowa,hydrangea paniculata,krzewy,"liściaste, do dużych ogrodów lub parków, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna","białe, purpurowe, różowe, fioletowe","kuliste, pełne, duże",lekko kwaśna,,krzaczkowaty,do 200 cm,"VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, rabaty, miejsca eksponowane, duże ogrody, parki, pojemniki, balkony, kwiat cięty",,baldachogrono,,
różanecznik jakuszimański,rhododendron degronianum subsp. yakushimanum,krzewy,"krzewy, liściaste, na skalniaki, znoszące zacienienie, zimozielone (liściaste), ozdobne liście, ozdobne kwiaty","kwiatostany, ulistnienie","próchniczna, przepuszczalna",wielobarwne,"pachnące, dzwonkowate, duże",kwaśna,torebka,"kulisty, rozłożysty, krzaczkowaty","1-1,5 m","V, VI",zimozielone,,gleba umiarkowanie wilgotna,"półcień, cień","ogrody wrzosowiskowe, skalniaki, rabaty, ogrody przydomowe",kwiaty,"baldachogrono, grono",,
hoja różowa,hoya carnosa,do wnętrz,"znoszące zacienienie, trujące, pachnące kwiaty lub liście, ozdobne liście","kwiatostany, ulistnienie","żyzna, przepuszczalna","białe, różowe",drobne,"lekko kwaśna, obojętna",,"pokładający się, pnącze",,,,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",półcień,"roślina pnąca, wnętrza",kwiaty,baldach,,roślina trująca
mizuna / kapusta japońska,brassica campestris var. japonica,"owocowe, warzywne",warzywa,ulistnienie,"przepuszczalna, próchniczna",żółte,"pachnące, drobne","lekko kwaśna, obojętna",,kępy,40-60 cm,VI,sezonowe,,gleba umiarkowanie wilgotna,słońce,roślina jadalna,,grono,,liście
palecznik chiński,decaisnea fargesii,krzewy,"liściaste, pojemnikowe, na słoneczne stanowisko, przebarwiające się liście, pachnące kwiaty lub liście, ozdobne owoce, ozdobne liście","owoce, ulistnienie","żyzna, próchniczna, przepuszczalna","żółte, zielonkawe","dzwonkowate, lejkowate, pojedyncze","lekko kwaśna, obojętna, lekko zasadowa","podłużne, jadalne","luźny, rozłożysty, krzaczkowaty",3-5 m,"V, VI",sezonowe,"szeroka, luźna, nieregularna, parasolowata",gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, miejsca eksponowane, pojedynczo, ogrody przydomowe",kwiaty,grono,"granatowe, ciemnoniebieske",owoce
lipa srebrzysta,tilia tomentosa,drzewa,"liściaste, parkowe, przebarwiające się liście, ozdobne kwiaty, ozdobne owoce, ozdobne liście, na słoneczne stanowisko","kwiaty, ulistnienie","próchniczna, przepuszczalna",żółte,"pachnące, kuliste, drobne",obojętna,orzechy,wyprostowany,20-30 m,"VII, VIII",sezonowe,"regularna, owalna",gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, szpalery, nasadzenia naturalistyczne, pojedynczo, ogrody przydomowe, duże ogrody, parki, zieleń miejska, roślina lecznicza",kwiaty,wiechowaty,,kwiaty
lipa henry'ego,tilia henryana,drzewa,"liściaste, przebarwiające się liście, ozdobne kwiaty, ozdobne liście, na słoneczne stanowisko, rośliny egzotyczne","kwiaty, ulistnienie","próchniczna, przepuszczalna, żyzna","białe, żółte",pachnące,"lekko kwaśna, obojętna",,wyprostowany,8-10 m,IX,sezonowe,"stożkowata, luźna, zaokrąglona",gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, miejsca eksponowane, pojedynczo, ogrody przydomowe",kwiaty,baldach,,
lasecznica trzcinowata,arundo donax,byliny,"na słoneczne stanowisko, ozdobne liście, kwitnące latem, kwitnące jesienią, ozdobne kwiaty, trawy ozdobne",ulistnienie,"żyzna, próchniczna","kremowe, fioletowe",,"lekko kwaśna, obojętna",,"wzniesiony, rozłożysty, wyprostowany, kępy",3 m,"VIII, IX, X",półzimozielone,,gleba wilgotna,"słońce, półcień","roślina dekoracyjna, żywopłoty, szpalery, brzegi zbiorników wodnych, duże ogrody, pojemniki",,wiechowaty,,
gorczycznik wiosenny,barbarea verna,"owocowe, warzywne",warzywa,,"żyzna, przepuszczalna, bogata w wapń",żółte,pojedyncze,"zasadowa, obojętna",torebka,"wzniesiony, kępy",1 m (z kwiatostanem),,,,gleba umiarkowanie wilgotna,słońce,roślina jadalna,cała roślina,grono,,"liście, kwiaty"
hortensja ogrodowa,hydrangea macrophylla,krzewy,"krzewy, liściaste, do dużych ogrodów lub parków, znoszące zacienienie, trujące, ozdobne kwiaty",kwiaty,"żyzna, przepuszczalna, lekka","białe, czerwone, różowe, niebieskie, fioletowe",,"kwaśna, lekko kwaśna, obojętna, lekko zasadowa",torebka,"kulisty, rozłożysty","1-1,5 m","VI, VII, VIII",sezonowe,,gleba wilgotna,"słońce, półcień","brzegi zbiorników wodnych, pojedynczo, w grupie, małe ogrody, duże ogrody, pojemniki, kwiat cięty, bukiety",,baldachogrono,,roślina trująca
głogownik,photinia,krzewy,"liściaste, żywopłotowe, pojemnikowe, na słoneczne stanowisko, przebarwiające się liście","kwiaty, ulistnienie","żyzna, przepuszczalna",białe,"pojedyncze, drobne","lekko kwaśna, obojętna, lekko zasadowa",owoce pozorne,"wzniesiony, zwarty, krzaczkowaty",2-3 m,"IV, V",,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, rabaty, żywopłoty, szpalery, ogrody przydomowe, pojemniki",,"baldach, wiechowaty","czerwone, czarne",
dracena wonna 'lemon lime',dracaena fragrans 'lemon lime',do wnętrz,ozdobne liście,ulistnienie,"żyzna, próchniczna, przepuszczalna",,,"lekko kwaśna, obojętna",,wzniesiony,2-3 m,,,,gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, wnętrza",,,,
dracena rozgałęziona,dracaena surculosa,do wnętrz,"znoszące zacienienie, na słoneczne stanowisko, ozdobne liście","rozety liściowe, ulistnienie","żyzna, świeża, przepuszczalna",,,"lekko kwaśna, obojętna",,"wzniesiony, krzaczkowaty","1,5-2 m",,,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, wnętrza",,,,roślina trująca
bylica luizjańska,artemisia ludoviciana,byliny,"na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące latem, na kwiat cięty, ozdobne kwiaty",ulistnienie,"małe wymagania glebowe, przepuszczalna",żółte,,obojętna,niełupka,"wzniesiony, wyprostowany, kępy",1 m,"VIII, IX",,,gleba umiarkowanie sucha,słońce,"ogrody wiejskie, skalniaki, rabaty, nasadzenia naturalistyczne, ogrody przydomowe, roślina lecznicza",liście,koszyczek kwiatowy,,
aglaonema zmienna,aglaonema commutatum,do wnętrz,"znoszące zacienienie, trujące, ozdobne liście",ulistnienie,żyzna,,,"lekko kwaśna, obojętna",,"wzniesiony, kępy",60-80 cm,,,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, wnętrza",,,,roślina trująca
surmia pośrednia / katalpa pośrednia,catalpa × erubescens,drzewa,"liściaste, przebarwiające się liście, ozdobne kwiaty, ozdobne owoce, ozdobne liście, na słoneczne stanowisko","kwiaty, owoce, ulistnienie","żyzna, próchniczna, przepuszczalna",białe,"pachnące, pojedyncze","lekko kwaśna, obojętna, lekko zasadowa",strąki,"wzniesiony, rozłożysty",8-10 m,"VII, VIII",sezonowe,"szeroka, stożkowata, regularna",gleba umiarkowanie wilgotna,słońce,"roślina dekoracyjna, miejsca eksponowane, pojedynczo, ogrody przydomowe",kwiaty,wiechowaty,,
lipa szerokolistna,tilia platyphyllos,drzewa,"liściaste, parkowe, przebarwiające się liście, ozdobne liście, na słoneczne stanowisko",cała roślina,"żyzna, próchniczna, gliniasta","kremowe, zielonkawe",,"lekko kwaśna, obojętna","owalne, orzechy",wzniesiony,30-40 m,VI,sezonowe,"szeroka, stożkowata, kopulasta",gleba wilgotna,słońce,"nasadzenia naturalistyczne, pojedynczo, duże ogrody, parki, zieleń miejska",kwiaty,,,kwiaty
kuklik,geum,byliny,"byliny, ozdobne owoce, na słoneczne stanowisko, kwitnące wiosną, kwitnące latem, ozdobne kwiaty","kwiatostany, kwiaty","żyzna, próchniczna, przepuszczalna",,"pojedyncze, półpełne","lekko kwaśna, obojętna, lekko zasadowa",niełupka,kępy,20-40 cm,"IV, V, VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, ogrody wiejskie, skalniaki, rabaty, nasadzenia naturalistyczne, ogrody przydomowe, pojemniki, roślina lecznicza",,wiechowaty,,
dzwonek gargański,campanula garganica,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące wiosną, ozdobne kwiaty","kwiaty, ulistnienie","przepuszczalna, lekka","niebieskie, fioletowe, liliowe",pojedyncze,"obojętna, lekko zasadowa",torebka,"zwarty, kępy, kobierce",10 cm,"V, VI",półzimozielone,,gleba umiarkowanie sucha,"słońce, półcień","tarasy, ogrody wiejskie, skalniaki, rabaty, obwódki rabat, murki, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, pojemniki",,,,
żywotnik zachodni 'smaragd',thuja occidentalis 'smaragd',krzewy,"iglaste, żywopłotowe",cała roślina,"żyzna, przepuszczalna, bogata w wapń",,,"kwaśna, lekko kwaśna",,"kolumnowy, stożkowaty, wąski, wyprostowany",10 m,,zimozielone,"stożkowata, wyprostowana",gleba umiarkowanie wilgotna,"słońce, półcień, cień","żywopłoty, sadzona przy ogrodzeniach, pojedynczo, duże ogrody, parki, zieleń miejska",,,,
ctenanthe,ctenanthe,do wnętrz,"do wnętrz, trujące, ozdobne liście","cała roślina, ulistnienie","żyzna, próchniczna, przepuszczalna",,,lekko kwaśna,,kępy,30-40 cm,,,,gleba umiarkowanie wilgotna,"słońce, półcień",,,kłos,,roślina trująca
wiśnia wonna / antypka,prunus mahaleb,"owocowe, warzywne",drzewa owocowe,"kwiaty, ulistnienie","każda ogrodowa, żyzna, przepuszczalna",białe,"pachnące, pojedyncze, drobne","lekko kwaśna, obojętna, lekko zasadowa","kuliste, jadalne","wzniesiony, rozłożysty, krzaczkowaty",5-10 m,V,sezonowe,kulista,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, ogrody wiejskie, żywopłoty, szpalery, ogrody przydomowe","cała roślina, kwiaty",,"czerwone, czarne",owoce
cis japoński,taxus cuspidata,drzewa,"iglaste, ozdobne owoce, ozdobna kora lub pędy, ozdobne liście",cała roślina,próchniczna,żółte,dwupienne,"lekko kwaśna, obojętna, lekko zasadowa",trujące,"wzniesiony, krzaczkowaty",15-20 m,IV,zimozielone,,gleba umiarkowanie wilgotna,półcień,"rabaty, żywopłoty, szpalery, nasadzenia naturalistyczne, ogrody przydomowe, pojemniki",,,,
ciemiernik czerwonawy,helleborus purpurascens,byliny,"byliny, znoszące zacienienie, kwitnące wiosną, ozdobne kwiaty, kwitnące zimą",kwiaty,"żyzna, próchniczna, przepuszczalna, bogata w wapń","purpurowe, zielonkawe","pojedyncze, duże","zasadowa, obojętna, lekko zasadowa",mieszek,"wzniesiony, kępy",40 cm,"II, III, IV",zimozielone,,gleba umiarkowanie wilgotna,półcień,"skalniaki, rabaty, obwódki rabat, nasadzenia naturalistyczne, pojedynczo, w grupie, ogrody przydomowe, pojemniki",,,,
akacja uzbrojona,acacia paradoxa,na balkon i taras,"krzewy, na słoneczne stanowisko, pachnące kwiaty lub liście, kwitnące latem, ozdobne kwiaty","kwiatostany, kwiaty","małe wymagania glebowe, uboga, przepuszczalna",żółte,"kuliste, pojedyncze","lekko kwaśna, obojętna","torebka, strąki","luźny, wzniesiony, krzaczkowaty",2-4 m,"V, VI",zimozielone,,gleba umiarkowanie sucha,słońce,"roślina dekoracyjna, tarasy, wnętrza, pojemniki, bukiety",kwiaty,,,
ciemiernik ogrodowy,helleborus x hybridus,byliny,"byliny, ozdobne liście, ozdobne kwiaty","kwiaty, ulistnienie","żyzna, próchniczna, przepuszczalna","białe, purpurowe, różowe, zielonkawe, wielobarwne","luźne, dzwonkowate, pojedyncze, półpełne, duże","zasadowa, obojętna",mieszek,"luźny, wzniesiony, kępy",30-60 cm,"I, II, III, IV",zimozielone,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, rabaty, obwódki rabat, nasadzenia naturalistyczne, pojedynczo, w grupie, ogrody przydomowe, parki, pojemniki",,,,
hiacynt,hyacinthus,cebulowe,"cebulowe, znoszące zacienienie, na słoneczne stanowisko, na skalniaki, kwitnące wiosną, ozdobne kwiaty","kwiatostany, ulistnienie","małe wymagania glebowe, żyzna, przepuszczalna, piaszczysta","ciemnoniebieskie, białe, żółte, pomarańczowe, łososiowe, czerwone, purpurowe, różowe, niebieskie, fioletowe, liliowe",dzwonkowate,obojętna,,wzniesiony,ok. 30 cm,"I, II, III, IV, V",sezonowe,,gleba stale wilgotna,"słońce, półcień","skalniaki, rabaty, obwódki rabat, w grupie, ogrody przydomowe, pojemniki",kwiaty,grono,,
piwonia koperkowa / piwonia delikatna,paeonia tenuifolia,byliny,"na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, ozdobne kwiaty","kwiaty, ulistnienie","żyzna, próchniczna, przepuszczalna",czerwone,"kuliste, duże","obojętna, lekko zasadowa",,"zwarty, krzaczkowaty",60 cm,"IV, V",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody wiejskie, skalniaki, rabaty, obwódki rabat, nasadzenia naturalistyczne, pojemniki",kwiaty,,,
czarny zamiokulkas 'raven',zamioculcas zamiifolia 'raven',do wnętrz,"znoszące zacienienie, ozdobne liście",ulistnienie,małe wymagania glebowe,,,,,,50 cm,,,,gleba umiarkowanie sucha,półcień,"roślina dekoracyjna, wnętrza, pojemniki",,,,
cissus rombolistny,cissus rhombifolia,do wnętrz,"znoszące zacienienie, ozdobne liście",,"żyzna, przepuszczalna",,,lekko kwaśna,,pnącze,"1-1,5 m",,,,gleba umiarkowanie sucha,"półcień, cień","roślina pnąca, wnętrza",,,,
kalanchoe blossfelda,kalanchoe blossfeldiana,do wnętrz,"na słoneczne stanowisko, ozdobne kwiaty","kwiatostany, kwiaty, ulistnienie","piaszczysto-liściasta, przepuszczalna, lekka","białe, kremowe, żółte, pomarańczowe, czerwone, purpurowe, różowe, fioletowe, liliowe","pojedyncze, półpełne, pełne",lekko kwaśna,,"wzniesiony, krzaczkowaty",20-30 cm,"I, II, III, IV, V, VI, VII, VIII, IX, X, XI, XII",,,gleba umiarkowanie sucha,słońce,"roślina dekoracyjna, wnętrza, balkony",,baldachogrono,,
alokazja / zakleśń,alocasia,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście, rośliny egzotyczne",ulistnienie,żyzna,,,obojętna,,"luźny, wzniesiony, rozłożysty",do 1 m,,zimozielone,,gleba umiarkowanie wilgotna,słońce,"wnętrza, pojemniki",,,,
ciemiernik biały,helleborus niger,byliny,"byliny, znoszące zacienienie, kwitnące wiosną, ozdobne kwiaty, kwitnące zimą",kwiaty,"żyzna, próchniczna, przepuszczalna, bogata w wapń","białe, zielonkawe",pojedyncze,"obojętna, lekko zasadowa",,kępy,ok. 30 cm,"I, II, III, IV, V",zimozielone,,gleba umiarkowanie wilgotna,"półcień, cień",,,,,roślina trująca
tawuła thunberga,spiraea thunbergii,krzewy,"liściaste, żywopłotowe, na skalniaki, przebarwiające się liście, pachnące kwiaty lub liście, ozdobne kwiaty","kwiatostany, ulistnienie","każda ogrodowa, żyzna, próchniczna",białe,drobne,"lekko kwaśna, obojętna",,"krzaczkowaty, rozłożysty","1-1,5 m","IV, V",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","skalniaki, rabaty, obwódki rabat, szpalery",kwiaty,baldach,,
wiąz szypułkowy,ulmus laevis,drzewa,"liściaste, parkowe, przebarwiające się liście, ozdobne liście","cała roślina, ulistnienie","każda ogrodowa, żyzna, próchniczna","żółte, czerwone","pojedyncze, drobne",obojętna,"oskrzydlona torebka, orzechy","luźny, wzniesiony, rozłożysty",30-40 m,"III, IV",sezonowe,"nieregularna, owalna, zaokrąglona","gleba wilgotna, gleba stale wilgotna",półcień,"szpalery, nasadzenia naturalistyczne, duże ogrody, parki, zieleń miejska",,wiechowaty,,
wiąz pospolity / wiąz polny,ulmus minor,drzewa,"liściaste, parkowe, przebarwiające się liście, na słoneczne stanowisko",cała roślina,"torfowa, żyzna, przepuszczalna, bogata w wapń","żółte, zielonkawe",drobne,"zasadowa, obojętna, lekko zasadowa",,wzniesiony,,"III, IV",sezonowe,"nieregularna, asymetryczna, wyprostowana, owalna",gleba wilgotna,słońce,"nasadzenia naturalistyczne, pojedynczo, duże ogrody, parki, zieleń miejska",,wiechowaty,,
wierzba oszczepowata,salix hastata,krzewy,,"ulistnienie, pędy","każda ogrodowa, żyzna, przepuszczalna, bogata w wapń","białe, kremowe, żółte",dwupienne,"zasadowa, lekko zasadowa",,"rozłożysty, krzaczkowaty","1,5-2 m",VI,sezonowe,"gęsta, nieregularna",gleba wilgotna,"słońce, półcień","skalniaki, rabaty, skarpy, nasadzenia naturalistyczne, pojedynczo, ogrody przydomowe, pojemniki",,kłos,,
różeniec górski,rhodiola rosea,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty, lecznicze","kwiatostany, ulistnienie","małe wymagania glebowe, przepuszczalna","żółte, pomarańczowe, czerwone",dwupienne,"obojętna, lekko zasadowa",mieszek,"zwarty, płożący, kępy, kobierce",30-40 cm,"VI, VII",zimozielone,,gleba umiarkowanie sucha,słońce,"skalniaki, murki, nasadzenia naturalistyczne, ogrody przydomowe, pojemniki, roślina lecznicza",,baldach,,
przypołudnik / kryształka,mesembryanthemum,byliny,"płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, kwitnące latem","kwiatostany, ulistnienie","przepuszczalna, lekka, piaszczysta","białe, żółte, pomarańczowe, różowe","języczkowate, rurkowe",obojętna,,"pokładający się, płożący",10-25 cm,"VI, VII, VIII, IX",sezonowe,,"gleba umiarkowanie sucha, gleba sucha",słońce,"roślina dekoracyjna, skalniaki, obwódki rabat, murki, skarpy, roślina okrywowa, pojemniki, balkony",,koszyczek kwiatowy,,
powojnik wąsaty,clematis cirrhosa,pnącza,"na słoneczne stanowisko, trujące, zimozielone, kwitnące jesienią","kwiaty, pędy","żyzna, próchniczna, przepuszczalna",białe,"pojedyncze, półpełne, duże",obojętna,niełupka,pnącze,3-4 m,"I, II, XI, XII",,,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"roślina pnąca, roślina dekoracyjna, na altany, sadzona przy podporach, miejsca eksponowane, ogrody przydomowe, pojemniki",,,,
opuncja,opuntia,do wnętrz,"na słoneczne stanowisko, ozdobne liście, ozdobne kwiaty","cała roślina, pędy","uboga, przepuszczalna","żółte, pomarańczowe, czerwone",duże,obojętna,,"luźny, wzniesiony",zależnie od gatunku/odmiany,,,,"gleba umiarkowanie sucha, gleba sucha",słońce,"tarasy, wnętrza, pojemniki",,,,
goryczka chińska,gentiana sino-ornata,byliny,"płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące jesienią, ozdobne kwiaty",kwiaty,"próchniczna, przepuszczalna",niebieskie,"rurkowe, lejkowate, pojedyncze, półpełne, pełne, duże","kwaśna, lekko kwaśna",,"pokładający się, płożący",10-20 cm,"IX, X","zimozielone, półzimozielone",,"gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"ogrody wrzosowiskowe, roślina dekoracyjna, skalniaki, rabaty, obwódki rabat, roślina okrywowa, w grupie, ogrody przydomowe, pojemniki",,,,
cyklamen perski,cyclamen persicum,do wnętrz,"znoszące zacienienie, ozdobne liście, kwitnące wiosną, kwitnące jesienią, ozdobne kwiaty, kwitnące zimą","kwiaty, ulistnienie",,"białe, łososiowe, czerwone, purpurowe, różowe, fioletowe, liliowe",pojedyncze,,kuliste,"wzniesiony, krzaczkowaty",do 40 cm,"I, II, III, X, XI, XII",sezonowe,,gleba stale wilgotna,"półcień, cień","wnętrza, pojemniki",,,,
anturium,anthurium,do wnętrz,ozdobne kwiaty,"kwiatostany, ulistnienie",próchniczna,"czerwone, różowe, zielonkawe, wielobarwne, kremowe",,"lekko kwaśna, obojętna",,wzniesiony,,"II, III, IV, V, VI",,,gleba stale wilgotna,"słońce, półcień","wnętrza, pojemniki, kwiat cięty",,,,
kalanchoe beharensis,kalanchoe beharensis,do wnętrz,"na słoneczne stanowisko, ozdobne liście",ulistnienie,"małe wymagania glebowe, przepuszczalna, piaszczysta",,,,,,60-80 cm,,,,,,,,,,
kluzja / okrętnica,clusia,do wnętrz,ozdobne liście,ulistnienie,"żyzna, próchniczna, przepuszczalna","białe, różowe",duże,obojętna,,"wzniesiony, krzaczkowaty","0,6-1 m (w doniczce)",,,,gleba umiarkowanie wilgotna,"słońce, półcień",wnętrza,cała roślina,,,
macodes petola,macodes petola,do wnętrz,"znoszące zacienienie, ozdobne liście, rośliny egzotyczne",ulistnienie,"świeża, przepuszczalna, lekka",białe,drobne,obojętna,,"pokładający się, wzniesiony",10-30 cm,,,,gleba umiarkowanie wilgotna,półcień,"roślina dekoracyjna, wnętrza, pojemniki",,grono,,
